LocationID,Borough,Zone,lat,lon
4,Manhattan,Alphabet City,40.7258428,-73.9774916
12,Manhattan,Battery Park,40.7029312,-74.0153603
13,Manhattan,Battery Park City,40.7115786,-74.0158441
24,Manhattan,Bloomingdale,40.7988958,-73.9697795
41,Manhattan,Central Harlem,40.8089419,-73.9482305
42,Manhattan,Central Harlem North,40.8089419,-73.9482305
43,Manhattan,Central Park,40.7825547,-73.9655834
45,Manhattan,Chinatown,40.7157509,-73.9970307
48,Manhattan,Clinton East,40.7637581,-73.9918181
50,Manhattan,Clinton West,40.7627973,-73.9941324
68,Manhattan,East Chelsea,40.7465004,-74.0013737
74,Manhattan,East Harlem North,40.7957399,-73.9389213
75,Manhattan,East Harlem South,40.7957399,-73.9389213
79,Manhattan,East Village,40.7264773,-73.9815337
87,Manhattan,Financial District North,40.7077143,-74.0082787
88,Manhattan,Financial District South,40.7077143,-74.0082787
90,Manhattan,Flatiron,40.740083,-73.9903489
100,Manhattan,Garment District,40.7547072,-73.9916342
105,Manhattan,Governor's Island/Ellis Island/Liberty Island,40.6894501,-74.016792
107,Manhattan,Gramercy,40.7367783,-73.9844722
113,Manhattan,Greenwich Village North,40.7335719,-74.0027418
114,Manhattan,Greenwich Village South,40.7335719,-74.0027418
116,Manhattan,Hamilton Heights,40.8252793,-73.9476139
120,Manhattan,Highbridge Park,40.8537599,-73.9257492
125,Manhattan,Hudson Sq,40.7281841,-74.0071764
127,Manhattan,Inwood,40.8677145,-73.9212019
128,Manhattan,Inwood Hill Park,40.8721829,-73.924776
137,Manhattan,Kips Bay,40.7423292,-73.9800645
140,Manhattan,Lenox Hill East,40.7662315,-73.9602312
141,Manhattan,Lenox Hill West,40.7390377,-73.9980848
142,Manhattan,Lincoln Square East,40.7741769,-73.9849118
143,Manhattan,Lincoln Square West,40.7741769,-73.9849118
144,Manhattan,Little Italy/NoLiTa,40.7191413,-73.9973273
148,Manhattan,Lower East Side,40.715033,-73.9842724
151,Manhattan,Manhattan Valley,40.7966989,-73.9684247
152,Manhattan,Manhattanville,40.8169443,-73.9558333
153,Manhattan,Marble Hill,40.8761173,-73.9102628
158,Manhattan,Meatpacking/West Village West,40.7409865,-74.0076108
161,Manhattan,Midtown Center,40.7314658,-73.9970956
162,Manhattan,Midtown East,40.7571432,-73.9718815
163,Manhattan,Midtown North,40.7649516,-73.9851039
164,Manhattan,Midtown South,40.7521795,-73.9875438
166,Manhattan,Morningside Heights,40.8105443,-73.9620581
170,Manhattan,Murray Hill,40.7478792,-73.9756567
186,Manhattan,Penn Station/Madison Sq West,40.7430682,-73.9872883
194,Manhattan,Randalls Island,40.7932271,-73.9212858
202,Manhattan,Roosevelt Island,40.7621302,-73.9499426
209,Manhattan,Seaport,40.7072263,-74.0027431
211,Manhattan,SoHo,40.7245908,-74.0019174
224,Manhattan,Stuy Town/Peter Cooper Village,40.7316903,-73.9778494
229,Manhattan,Sutton Place/Turtle Bay North,40.7580101,-73.9602125
230,Manhattan,Times Sq/Theatre District,40.7579747,-73.9855426
231,Manhattan,TriBeCa/Civic Center,40.7162692,-74.0086323
232,Manhattan,Two Bridges/Seward Park,40.7107469,-73.99696
233,Manhattan,UN/Turtle Bay South,40.7493281,-73.9679241
234,Manhattan,Union Sq,40.7358633,-73.9910835
236,Manhattan,Upper East Side North,40.7735649,-73.9565551
237,Manhattan,Upper East Side South,40.7735649,-73.9565551
238,Manhattan,Upper West Side North,40.7870106,-73.9753676
239,Manhattan,Upper West Side South,40.7870106,-73.9753676
243,Manhattan,Washington Heights North,40.852476,-73.9342996
244,Manhattan,Washington Heights South,40.8417082,-73.9393554
246,Manhattan,West Chelsea/Hudson Yards,40.754247,-74.0022078
249,Manhattan,West Village,40.73468,-74.0047554
261,Manhattan,World Trade Center,40.7113396,-74.0110779
262,Manhattan,Yorkville East,40.7762231,-73.9492079
263,Manhattan,Yorkville West,40.7762231,-73.9492079
